word,count
フルーツ,10
糖,10
マス,10
高級,10
ずっしり,10
どっしり,9
ちょい,9
点,9
四角,9
すっかり,9
角,9
ミニサイズ,9
つもり,9
ぺろり,9
皆さん,9
抜く,9
カロリー,9
ばっちい,9
なかなか,9
こ,9
マジ,9
嫌い,9
送別,9
引き続く,9
冷蔵庫,9
マン,9
冬,9
切り,9
上出来,9
その,9
抜き,9
彼女,9
振る,9
天才,9
名前,9
ものすごい,9
時期,9
パクパク,9
無くなる,9
姉ちゃん,9
とき,9
ほぼ,9
天,9
うまる,9
ホット,9
ランチ,9
常温,9
好み,9
純,9
カバー,9
投稿,9
しる,9
クランチ,9
白,9
甘党,9
急ぐ,9
覚える,9
中毒,9
ごと,9
祖母,9
重い,9
安定,9
軽い,8
ちょこ,8
どう,8
濃い,8
愛情,8
待ち遠しい,8
どこ,8
ｃｍ,8
皿,8
成人,8
大丈夫,8
父親,8
愛する,8
今晩,8
溶ける,8
載せる,8
立て,8
書く,8
だいぶ,8
失礼,8
お返し,8
予想,8
代用,8
修行,8
仕上げる,8
上達,8
意外,8
近々,8
にくい,8
次女,8
いける,8
変える,8
生まれる,8
太る,8
トライ,8
数え切れる,8
ごい,8
減らす,8
金箔,8
癖,8
つける,8
朝,8
つまみ食い,8
程,8
パイ,8
倍量,8
喜,8
部活,8
すてき,8
ナッツ,8
ほっぺ,8
催促,8
希望,8
義理,8
見栄え,8
合う,8
だい,8
手抜き,8
ゆるい,8
せがむ,8
相性,8
半年,8
既に,8
隠す,8
卵白,8
丁度,8
先生,8
合同,8
色,8
感想,8
写,8
男子,8
他,8
土台,8
足る,8
連発,8
実,8
腕,8
あう,8
もう少し,8
まく,7
すでに,7
馴染む,7
がっつく,7
向ける,7
なじむ,7
迷う,7
当日,7
一言,7
過ぎ,7
豆乳,7
後輩,7
え,7
男,7
おすそ分け,7
香り,7
まるで,7
ハーフ,7
永久,7
ラズベリー,7
祝い事,7
お陰,7
月,7
きっと,7
７,7
回り,7
パサパサ,7
でこぼこ,7
期待,7
付き,7
担当,7
星,7
すい,7
経つ,7
流石,7
ミ,7
プレート,7
やはり,7
義,7
なぜ,7
嵐,7
興奮,7
ドーム,7
猫,7
数える,7
崩れる,7
小枝,7
はまる,7
週,7
七,7
仕事,7
ほっぺた,7
代わり,7
確か,7
切り口,7
勉強,7
系,7
頂ける,7
お陰様,7
妻,7
真ん中,7
ゆう,7
お茶,7
一昨年,7
ら,7
ごまかす,7
片想い,7
それでも,7
まわり,7
購入,7
ぬる,7
キャラ,7
高校生,7
料理,7
活躍,6
アイス,6
きる,6
シロップ,6
祖父,6
倍増,6
がけ,6
残す,6
くるみ,6
かい,6
食い初め,6
兼ねる,6
初節句,6
おちる,6
アンパン,6
入学,6
炊飯,6
解説,6
噂,6
一生,6
調子,6
とまる,6
くださる,6
お礼,6
いち,6
お家,6
温める,6
８,6
ぜひ,6
バラ,6
小麦粉,6
まだまだ,6
双子,6
とこ,6
今後,6
急遽,6
普通,6
削る,6
オーブン,6
しす,6
もう一度,6
もん,6
加える,6
安心,6
種類,6
あまりに,6
退院,6
３つ,6
ようやく,6
ほう,6
文字,6
あふる,6
そのまま,6
同じ,6
目指す,6
くま,6
だす,6
おう,6
兄ちゃん,6
ここ,6
ガタガタ,6
製作,6
気持ち,6
五,6
三男,6
もったいない,6
外,6
ミキサー,6
花,6
はやい,6
並み,6
日記,6
新年,6
愛,6
固め,6
恒例,6
いとこ,6
末っ子,6
っぷり,6
欲張る,6
バク,6
塗り,6
控える,6
渡せる,6
色々,6
薄い,6
あれ,6
ご馳走さま,6
低,6
まあ,5
あの,5
ロウソク,5
立てる,5
メリークリスマス,5
全然,5
けど,5
来月,5
素,5
理由,5
戴く,5
ソース,5
恥ずかしい,5
届ける,5
ちゃ,5
部分,5
おしい,5
ど,5
かる,5
ホッ,5
恋人,5
味わい,5
褒美,5
本,5
雪,5
義妹,5
一瞬,5
サン,5
堪能,5
ホーム,5
薔薇,5
調整,5
飾りつける,5
米,5
勘違い,5
声,5
義姉,5
泣く,5
前々,5
もはや,5
先週,5
染み込む,5
必要,5
小さめ,5
第,5
立派,5
中２,5
ピカ,5
安い,5
欲しい,5
明後日,5
おめでとう,5
文句,5
割,5
思い出,5
さっそく,5
斜め,5
苦労,5
平ら,5
会う,5
奥,5
キャラメル,5
来週,5
リボン,5
やみ,5
うっとり,5
半,5
ペン,5
降る,5
じ,5
勢い,5
ナシ,5
近い,5
知る,5
最近,5
ほしい,5
デビュー,5
コメ,5
余り,5
手動,5
殺る,5
贈る,5
泡,5
不安,5
たび,5
ぱくぱく,5
付き合う,5
砕く,5
夜中,5
今週,5
クラス,5
ハンド,5
イチ,5
つい,5
均,5
しぼむ,5
辛口,5
受験,5
メロメロ,5
伝わる,5
実現,5
少なめ,5
卵黄,5
一つ,5
分離,5
知らず,5
分ける,5
アメリカ,5
とも,5
下手くそ,5
イブ,5
お願い,5
鼻高々,5
あま,5
ミス,5
ほんま,5
中学生,5
済み,5
振り,5
感じる,5
サンタ,5
ハプニング,5
緊張,5
箱,5
得意,5
飽きる,5
厚い,5
脂肪,5
まぶす,5
ハッピー,5
義弟,4
皆様,4
全体,4
しっと,4
省略,4
作りたて,4
むっちゃ,4
達成,4
切り分ける,4
再び,4
終わる,4
愛犬,4
くどい,4
のる,4
囲む,4
かたい,4
晴,4
上げる,4
出来栄え,4
後で,4
有る,4
巨大,4
イイ,4
がる,4
焦る,4
いろんな,4
差し入れる,4
ケチ,4
爪楊枝,4
ぢ,4
叫ぶ,4
名,4
メッセージ,4
中学,4
投入,4
ダーク,4
あー,4
さっぱり,4
エンゼル,4
急,4
かねる,4
登場,4
紅茶,4
美しい,4
ロースト,4
別,4
大学,4
来客,4
随分,4
わぁ,4
満点,4
化,4
意味,4
太鼓判,4
照,4
史上,4
自家製,4
お持たせ,4
らしい,4
本気,4
なん,4
なんで,4
控え目,4
姑,4
級,4
なお,4
最初,4
渡し,4
勧める,4
所,4
大きめ,4
依頼,4
均等,4
どれ,4
とにかく,4
あたし,4
寝かす,4
特大,4
部員,4
クマ,4
いす,4
げ,4
スる,4
主役,4
株,4
活用,4
白い,4
夢,4
等分,4
百,4
ラップ,4
ウケ,4
夕食,4
配分,4
ねだる,4
やわらかい,4
乗る,4
魔法,4
状態,4
越える,4
仲間,4
食う,4
なめらか,4
